segment,n_series,volume_share,vn1,wape,bias_pct,mae
10,1764,0.7517560797685897,0.445227371316293,0.4149713145974745,-0.030256056718818484,53.79885942815504
9,2248,0.1090498398932691,0.6931572852750693,0.6772227347795672,0.015934550495502065,12.744508055564603
8,2643,0.04617416514295133,0.8028595640097239,0.8010973842025159,-0.0017621798072080775,6.383382669196329
7,2916,0.02329666593263744,0.9339653105409443,0.8997765372216567,-0.03418877331928762,3.6173868119863255
2,3952,0.01586006628772593,1.9944558068220355,1.0040075584281594,-0.9904482483938764,2.747947904230488
6,3177,0.015715457100533226,1.2822265404950859,0.9458888015956541,-0.3363377388994317,2.5652731525308767
1,2833,0.014039826836236797,1.999721905795552,1.0007684259031344,-0.9989534798924176,2.4231114457652856
5,3498,0.011847513055181178,1.6747817911206162,1.0236932532625456,-0.6510885378580707,2.091582886253366
3,4175,0.0071474553151688,1.9208400875131746,1.0259398356936258,-0.8949002518195488,1.2654350421629186
4,3908,0.005112930667706451,1.6980059468498472,1.0383105348058341,-0.6596954120440129,0.9161438672299063
