segment,n_series,volume_share,vn1,wape,bias_pct,mae
10,1764,0.7517560797685897,0.49068535663084034,0.39017286310363364,-0.1005124935272067,50.58386996015488
9,2248,0.1090498398932691,0.8959018060032726,0.6046633966359111,-0.29123840936736156,11.379029577085499
8,2643,0.04617416514295133,1.0832937290707183,0.6951882445867031,-0.3881054844840151,5.53946708581681
7,2916,0.02329666593263744,1.3506634500937509,0.8017472316880302,-0.5489162184057208,3.223277938998274
2,3952,0.01586006628772593,1.9998962030238037,1.0000430378764051,-0.9998531651473984,2.7370970935468244
6,3177,0.015715457100533226,1.703877707756804,0.917253527107026,-0.7866241806497779,2.4876136002271467
1,2833,0.014039826836236797,1.9999988553785117,1.000005159736946,-0.9999936956415659,2.421263386878148
5,3498,0.011847513055181178,1.8959305931545425,0.9716928185033464,-0.9242377746511959,1.9853369780445902
3,4175,0.0071474553151688,1.9962080800897712,0.9998287725348729,-0.9963793075548983,1.2332286172248752
4,3908,0.005112930667706451,1.966126978880205,0.9926480475258779,-0.973478931354327,0.8758539864267431
