segment,n_series,volume_share,vn1,wape,bias_pct,mae
10,1764,0.7517560797685897,0.5002275394555972,0.4273243765547715,0.07290316290082562,55.40036926840162
9,2248,0.1090498398932691,0.7059339144670638,0.6399686641855586,0.06596525028150511,12.043431764996102
8,2643,0.04617416514295133,0.7880551862403878,0.7438279152557852,0.04422727098460263,5.927042475410074
7,2916,0.02329666593263744,0.9111463116936003,0.876437027613814,0.034709284079786205,3.523554587249352
2,3952,0.01586006628772593,1.9223920148133917,1.2262980774473076,-0.696093937366084,3.3563524533210263
6,3177,0.015715457100533226,1.1894781168151103,1.0088550526381566,-0.1806230641769537,2.7360391379642253
1,2833,0.014039826836236797,1.8825296577307387,1.255051520740178,-0.6274781369905607,3.0387946164330804
5,3498,0.011847513055181178,1.568735727022236,1.2063643573210157,-0.3623713697012203,2.46481163797565
3,4175,0.0071474553151688,1.825236353849205,1.4926691770527036,-0.3325671767965011,1.8411175950897065
4,3908,0.005112930667706451,1.6773163408652998,1.6186494667262998,0.058666874138999944,1.4282006513721501
