segment,n_series,volume_share,vn1,wape,bias_pct,mae
smooth,1192,0.3212238750138278,0.45305823413776314,0.379656109995959,0.07340212414180415,31.43029216963779
intermittent,7981,0.3005244730131712,0.5453373434860396,0.5224932508331153,-0.022844092652924253,6.9780609465043195
lumpy,4643,0.20433152274436694,0.6900176843052589,0.6874882953328989,0.00252938897235998,10.71879685939376
erratic,907,0.13475732534756926,0.6275688644840821,0.5926800469893716,-0.034888817494710456,28.483621787693522
insufficient,5657,0.03916280388106476,1.9768445738417513,1.0055746802946819,-0.9712698935470695,2.513642044942528
