segment,n_series,volume_share,vn1,wape,bias_pct,mae
10,1764,0.7517560797685897,0.4864202579404507,0.4532233413347914,0.033196916605659245,58.758034525062975
9,2248,0.1090498398932691,0.695026493591881,0.6709653841998798,0.02406110939200111,12.626752329458812
8,2643,0.04617416514295133,0.7763746356056771,0.7707487522174467,0.005625883388230445,6.141555726220899
7,2916,0.02329666593263744,0.9164439252547529,0.8586170961088244,-0.057826829145928474,3.4519128155982552
2,3952,0.01586006628772593,1.9948732539895604,1.0032456465340707,-0.9916276074554897,2.7458625671481194
6,3177,0.015715457100533226,1.2514568024597723,0.9162271833433713,-0.3352296191164011,2.484830131284783
1,2833,0.014039826836236797,1.9997350955687676,1.0004469069156605,-0.9992881886531069,2.422332967629471
5,3498,0.011847513055181178,1.6443709093729642,1.022500456093285,-0.6218704532796792,2.0891457947339624
3,4175,0.0071474553151688,1.9211213423609343,1.0302537208955316,-0.8908676214654029,1.2707559599325933
4,3908,0.005112930667706451,1.6887092884161357,1.054821510255569,-0.6338877781605667,0.930712176414101
