segment,n_series,volume_share,vn1,wape,bias_pct,mae
smooth,1192,0.3212238750138278,0.4879870036616762,0.40127191649189287,0.08671508716978325,33.21978296344271
intermittent,7981,0.3005244730131712,0.5299235286758458,0.5084846958320204,-0.02143883284382547,6.790972308681282
lumpy,4643,0.20433152274436694,0.9188688494490087,0.7790991848977447,0.13976966455126408,12.147124471689251
erratic,907,0.13475732534756926,0.5956212682777362,0.5878485382729448,0.00777273000479142,28.251424217281443
insufficient,5657,0.03916280388106476,1.9934931107805887,1.001251946549149,-0.9922411642314396,2.502836477236031
