segment,n_series,volume_share,vn1,wape,bias_pct,mae
smooth,1192,0.3212238750138278,0.350622313194618,0.3238011820160715,0.026821131178546495,26.80627411935374
intermittent,7981,0.3005244730131712,0.6375574132263363,0.4956951095594766,-0.14186230366685976,6.62016337986147
lumpy,4643,0.20433152274436694,0.762838078403459,0.7596791558856313,-0.003158922517827671,11.844342086305396
erratic,907,0.13475732534756926,0.6147019105407112,0.4664660351776071,-0.14823587536310415,22.41790016433971
insufficient,5657,0.03916280388106476,1.9997136833140952,1.000008382092554,-0.9997053012215412,2.499727930486647
