segment,n_series,volume_share,vn1,wape,bias_pct,mae
10,1764,0.7517560797685897,0.4109505235186133,0.3984452446701421,0.012505278848471241,51.656340941587274
9,2248,0.1090498398932691,0.6618218673161923,0.6196891493923115,0.042132717923880854,11.661795965764398
8,2643,0.04617416514295133,0.7962587510377834,0.7305101674631493,0.0657485835746341,5.820922692561365
7,2916,0.02329666593263744,0.934432899189731,0.8634974989160441,0.07093540027368694,3.4715335814458848
2,3952,0.01586006628772593,1.9683077954476076,1.0466596078582542,-0.9216481875893533,2.864685680613425
6,3177,0.015715457100533226,1.1506141278685285,0.9277486836429629,-0.2228654442255656,2.5160767168723916
1,2833,0.014039826836236797,1.9584852770335948,1.048635811243372,-0.9098494657902226,2.539010395307099
5,3498,0.011847513055181178,1.584027209618626,1.0430557719085491,-0.5409714377100769,2.1311438704697543
3,4175,0.0071474553151688,1.862547961756006,1.150200426492953,-0.7123475352630528,1.418703002414238
4,3908,0.005112930667706451,1.5715299940581837,1.144713104348607,-0.4268168897095769,1.0100272077878865
