segment,n_series,volume_share,vn1,wape,bias_pct,mae
10,1764,0.7517560797685897,0.5354163553250068,0.4638900226506743,-0.07152633267433244,60.140913939835905
9,2248,0.1090498398932691,1.136863734080319,0.7485983538709615,-0.3882653802093574,14.087710381424603
8,2643,0.04617416514295133,1.3602962455956578,0.8406491380860097,-0.519647107509648,6.69854282981469
7,2916,0.02329666593263744,1.5383694735958766,0.9128900867308302,-0.6254793868650464,3.6701074365975095
2,3952,0.01586006628772593,1.9994956992879926,1.0008331836887765,-0.9986625155992163,2.7392597062790847
6,3177,0.015715457100533226,1.7638270493658434,0.9813282868030718,-0.7824987625627716,2.6613858877580423
1,2833,0.014039826836236797,1.9998840912694937,1.0002568126993745,-0.9996272785701192,2.421872701838371
5,3498,0.011847513055181178,1.9110985902088231,1.011971972226628,-0.8991266179821951,2.0676342759235062
3,4175,0.0071474553151688,1.9903808287706846,1.006398381362153,-0.9839824474085317,1.2413318343279742
4,3908,0.005112930667706451,1.9462573314723635,1.0220681606563162,-0.9241891708160471,0.9018125559626877
