segment,n_series,volume_share,vn1,wape,bias_pct,mae
10,1764,0.7517560797685897,0.41511725548757605,0.4019947961760319,0.013122459311544205,52.116521719826366
9,2248,0.1090498398932691,0.6444888222543954,0.6357330065282809,0.008755815726114492,11.963721840385611
8,2643,0.04617416514295133,0.8133067814780345,0.74846314909002,0.06484363238801452,5.963977399813281
7,2916,0.02329666593263744,0.976443597434089,0.9067665265673032,0.06967707086678587,3.645488784230394
2,3952,0.01586006628772593,1.9244957685737154,1.1454602151207705,-0.779035553452945,3.135100897495637
6,3177,0.015715457100533226,1.245939834339549,1.0063669097524597,-0.2395729245870891,2.72929123468683
1,2833,0.014039826836236797,1.8731288330336318,1.1607079780787783,-0.7124208549548535,2.810365229434204
5,3498,0.011847513055181178,1.6436070530230091,1.1339331704116906,-0.5096738826113185,2.3168221592057736
3,4175,0.0071474553151688,1.8175707735794406,1.3502136480765732,-0.4673571255028675,1.6654072736414967
4,3908,0.005112930667706451,1.6084579582790302,1.3663404724801356,-0.24211748579889456,1.2055781025517291
