segment,n_series,volume_share,vn1,wape,bias_pct,mae
smooth,1192,0.3212238750138278,0.41855670779930737,0.3532077511375995,0.06534895666170787,29.24073265923108
intermittent,7981,0.3005244730131712,0.5127958898947255,0.48713698762347946,-0.025658902271246023,6.505866982038567
lumpy,4643,0.20433152274436694,0.6670876022679435,0.6537737794557674,-0.013313822812176109,10.193145660161647
erratic,907,0.13475732534756926,0.5368026536687406,0.5053135425324549,-0.03148911113628573,24.28487326814317
insufficient,5657,0.03916280388106476,1.8804847911124076,1.1752448613704483,-0.7052399297419593,2.937767780487178
