segment,n_series,volume_share,vn1,wape,bias_pct,mae
smooth,1192,0.3212238750138278,0.4065186830059669,0.3423606048236172,0.06415807818234968,28.342738477446673
intermittent,7981,0.3005244730131712,0.5029536927501391,0.4689690502811638,-0.033984642468975354,6.263228490833553
lumpy,4643,0.20433152274436694,0.6509260953306443,0.6397551837748436,0.01117091155580068,9.974578332720771
erratic,907,0.13475732534756926,0.5185352128567796,0.47800441852161757,-0.040530794335162046,22.972423551590015
insufficient,5657,0.03916280388106476,1.9116516763617701,1.1052887136544036,-0.8063629627073666,2.7628979099075717
