segment,n_series,volume_share,vn1,wape,bias_pct,mae
10,1764,0.7517560797685897,0.8657531621777692,0.6017801510241949,0.26397301115357436,78.01764751621124
9,2248,0.1090498398932691,1.3698665772261567,0.9497901448222533,0.4200764324039033,17.873895145772195
8,2643,0.04617416514295133,1.5223735314359876,1.059467497436831,0.4629060339991566,8.442152720854976
7,2916,0.02329666593263744,1.7072611190306448,1.191989349265133,0.5152717697655118,4.792174916423317
2,3952,0.01586006628772593,1.9076823937340044,1.3335750901033607,-0.5741073036306437,3.6499674163018074
6,3177,0.015715457100533226,1.490182365963974,1.2525279323920797,0.23765443357189434,3.396885841485972
1,2833,0.014039826836236797,1.8758015009774902,1.385681572460224,-0.49011992851726616,3.3550827459252788
5,3498,0.011847513055181178,1.4727926501466793,1.3594014126068528,-0.1133912375398265,2.7774928877331635
3,4175,0.0071474553151688,1.7956178765259443,1.6774654560230502,-0.1181524205028941,2.0690526834199976
4,3908,0.005112930667706451,2.2214240280147832,1.8432692027290556,0.3781548252857277,1.6263918347412056
