segment,n_series,volume_share,vn1,wape,bias_pct,mae
10,1764,0.7517560797685897,0.41889328114808905,0.40184033867867514,0.017052942469413905,52.096497113556936
9,2248,0.1090498398932691,0.7245095041590331,0.6477692863458923,0.07674021781314089,12.190229984924656
8,2643,0.04617416514295133,0.8873819418265034,0.7691246142679216,0.11825732755858206,6.128614111076688
7,2916,0.02329666593263744,1.0433490612830942,0.905621179780753,0.13772788150234141,3.6408841271967582
2,3952,0.01586006628772593,1.9566998017895025,1.0733751280289474,-0.8833246737605549,2.9378055063032
6,3177,0.015715457100533226,1.1497175004248679,0.9573056590324354,-0.19241184139243236,2.596235944160761
1,2833,0.014039826836236797,1.9309937694129866,1.0754235981985285,-0.8555701712144582,2.603870348416814
5,3498,0.011847513055181178,1.588762414637422,1.0691716572898418,-0.5195907573475802,2.1845031543653737
3,4175,0.0071474553151688,1.8509587998438757,1.1884549199237817,-0.6625038799200943,1.4658876177526543
4,3908,0.005112930667706451,1.5888471362392205,1.2004379237570186,-0.3884092124822019,1.0591954959272891
