segment,n_series,volume_share,vn1,wape,bias_pct,mae
smooth,1192,0.3212238750138278,0.5223783383026676,0.4199235826644641,0.10245475563820343,34.763883800541585
intermittent,7981,0.3005244730131712,0.5567296127246599,0.5285058116937738,-0.028223801030886137,7.058360579204536
lumpy,4643,0.20433152274436694,0.68180002133698,0.656210985066672,-0.02558903627030799,10.23114472432784
erratic,907,0.13475732534756926,0.6147711633153389,0.5638796388250321,-0.05089152449030681,27.09950241729913
insufficient,5657,0.03916280388106476,1.8072099657075413,1.2864097238450485,-0.5208002418624927,3.2156473628912647
