segment,n_series,volume_share,vn1,wape,bias_pct,mae
10,1764,0.7517560797685897,0.5523287206251204,0.46326618124696667,-0.08906253937815375,60.06003616635394
9,2248,0.1090498398932691,0.8362639681931384,0.6583526301368744,-0.17791133805626402,12.389395640878135
8,2643,0.04617416514295133,0.8970935482312054,0.734580082616035,-0.16251346561517024,5.853352989257306
7,2916,0.02329666593263744,1.043547733813472,0.8437762510539037,-0.19977148275956835,3.392247915526319
2,3952,0.01586006628772593,1.9958689137653796,1.0025157161940998,-0.9933531975712797,2.7438647629173447
6,3177,0.015715457100533226,1.3452002810186063,0.909239679056459,-0.4359606019621474,2.4658798518014313
1,2833,0.014039826836236797,1.9997644256090874,1.0003822673302756,-0.9993821582788119,2.422176458975579
5,3498,0.011847513055181178,1.684030979828761,1.011104474548542,-0.6729265052802189,2.065861827691024
3,4175,0.0071474553151688,1.931301859165679,1.0229660731478725,-0.9083357860178064,1.261767085035663
4,3908,0.005112930667706451,1.7264835763847028,1.0376627186480192,-0.6888208577366838,0.9155722725285333
