segment,n_series,volume_share,vn1,wape,bias_pct,mae
10,1764,0.7517560797685897,0.4060490112871143,0.40016355788181973,-0.005885453405294594,51.87911125769517
9,2248,0.1090498398932691,0.6547406540784587,0.5950385912004256,-0.0597020628780331,11.197902446960853
8,2643,0.04617416514295133,0.7331918454854569,0.7002113486690915,-0.03298049681636531,5.579492675935303
7,2916,0.02329666593263744,0.9458853072350848,0.8772474422487124,-0.0686378649863723,3.5268127108958907
2,3952,0.01586006628772593,1.9496989115654564,1.0913547744871188,-0.8583441370783373,2.987015426476398
6,3177,0.015715457100533226,1.268145701888657,0.9605887796987178,-0.30755692218993935,2.6051398462764497
1,2833,0.014039826836236797,1.9243335943993116,1.1024383852517,-0.8218952091476116,2.6692799257167557
5,3498,0.011847513055181178,1.6262993679849183,1.089704353453595,-0.5365950145313233,2.2264550142295243
3,4175,0.0071474553151688,1.8473062230418884,1.2683062191514511,-0.5790000038904375,1.5643793895792284
4,3908,0.005112930667706451,1.5712693022030757,1.3214823360675616,-0.24978696613551407,1.165997933428792
