segment,n_series,volume_share,vn1,wape,bias_pct,mae
smooth,1192,0.3212238750138278,0.33806257838289483,0.32091186842323116,0.017150709959663675,26.567078784413276
intermittent,7981,0.3005244730131712,0.6961850232868174,0.4645117899699163,-0.23167323331690104,6.203700383902552
lumpy,4643,0.20433152274436694,0.8921155876453234,0.5830881069333865,-0.30902748071193686,9.091068185126018
erratic,907,0.13475732534756926,0.6251396429018468,0.4465355716637886,-0.1786040712380582,21.46006163465624
insufficient,5657,0.03916280388106476,1.988565756482168,0.9998849313139158,-0.9886808251682521,2.4994193397138806
