segment,n_series,volume_share,vn1,wape,bias_pct,mae
10,1764,0.7517560797685897,0.40462008654028225,0.400592954470623,0.00402713206965924,51.934780278437884
9,2248,0.1090498398932691,0.6551150299950048,0.5946558459425993,-0.06045918405240541,11.190699646802079
8,2643,0.04617416514295133,0.7305214700777728,0.6903476144978912,-0.0401738555798816,5.500895502852932
7,2916,0.02329666593263744,0.9242099384909213,0.8603020469003986,-0.06390789159052271,3.4586868517285
2,3952,0.01586006628772593,1.9489304337239954,1.093247852613454,-0.8556825811105415,2.9921967421210245
6,3177,0.015715457100533226,1.2442989311358066,0.9438188008824507,-0.30048013025335596,2.5596592608700997
1,2833,0.014039826836236797,1.92376199768442,1.102782553578038,-0.820979444106382,2.6701132435845403
5,3498,0.011847513055181178,1.6310177647851754,1.0785825214488634,-0.552435243336312,2.2037311822508094
3,4175,0.0071474553151688,1.8444987948680565,1.2774543586792717,-0.5670444361887848,1.5756630691151472
4,3908,0.005112930667706451,1.5767310104849808,1.257798170231336,-0.31893284025364466,1.1098067882802738
