segment,n_series,volume_share,vn1,wape,bias_pct,mae
10,1764,0.7517560797685897,0.4417158797882191,0.42614698070963525,-0.015568899078583803,55.24772605829149
9,2248,0.1090498398932691,0.672081172247527,0.639557838475108,-0.032523333772418825,12.03570052487763
8,2643,0.04617416514295133,0.7883569655894499,0.7411391220714199,-0.04721784351803002,5.905617370107531
7,2916,0.02329666593263744,0.9419934037294111,0.8401499685833665,-0.10184343514604456,3.3776691108533687
2,3952,0.01586006628772593,1.9949392145511589,1.0030719527909018,-0.991867261760257,2.7453871709685664
6,3177,0.015715457100533226,1.2677355672507455,0.9013724834270153,-0.36636308382373034,2.4445438282647585
1,2833,0.014039826836236797,1.9997363050001846,1.0004219119997046,-0.99931439300048,2.422272448666871
5,3498,0.011847513055181178,1.6490109684072374,1.014462048060998,-0.6345489203462392,2.0727219327816937
3,4175,0.0071474553151688,1.9220545121155301,1.0281780604792343,-0.8938764516362958,1.2681957577306415
4,3908,0.005112930667706451,1.694751781266292,1.0479348896483809,-0.6468168916179111,0.9246358292869921
