segment,n_series,volume_share,vn1,wape,bias_pct,mae
smooth,1192,0.3212238750138278,0.3654212359516809,0.31985997745502276,0.045561258496658166,26.479996713057318
intermittent,7981,0.3005244730131712,0.5556747554704551,0.49379393915594955,-0.06188081631450564,6.59477265390597
lumpy,4643,0.20433152274436694,3.4802299403286305,2.0774037299193058,1.4028262104093248,32.38930571926257
erratic,907,0.13475732534756926,0.5216145254664125,0.4698275733903909,-0.051786952076021665,22.579452394019427
insufficient,5657,0.03916280388106476,1.9559395840538938,1.11751640933556,-0.8384231747183336,2.79346356612309
